Query_Sequence	Database_EggNOG_Protein_Domains
TRINITY_DN3698_c0_g1_i32.p1	GST_C_3
TRINITY_DN5702_c0_g1_i88.p1	PSI
TRINITY_DN5702_c0_g1_i88.p1	Plexin_cytopl
TRINITY_DN5702_c0_g1_i88.p1	Sema
TRINITY_DN16714_c0_g1_i30.p1	Runt
TRINITY_DN230092_c0_g1_i1.p1	CUB
TRINITY_DN230092_c0_g1_i1.p1	EGF_CA
TRINITY_DN230092_c0_g1_i1.p1	Ephrin_rec_like
TRINITY_DN230092_c0_g1_i1.p1	FXa_inhibition
TRINITY_DN5524_c0_g1_i62.p1	EphA2_TM
TRINITY_DN5524_c0_g1_i62.p1	Ephrin_lbd
TRINITY_DN5524_c0_g1_i62.p1	Ephrin_rec_like
TRINITY_DN5524_c0_g1_i62.p1	Pkinase_Tyr
TRINITY_DN5524_c0_g1_i62.p1	SAM_1
TRINITY_DN5524_c0_g1_i62.p1	SAM_2
TRINITY_DN5499_c0_g1_i4.p1	EGF_CA
TRINITY_DN5499_c0_g1_i4.p1	TB
TRINITY_DN223_c0_g1_i210.p1	EF-hand_1
TRINITY_DN223_c0_g1_i210.p1	EF-hand_5
TRINITY_DN223_c0_g1_i210.p1	EF-hand_7
TRINITY_DN12355_c0_g1_i14.p1	CH
TRINITY_DN14954_c1_g1_i1.p1	HEAT
TRINITY_DN6019_c0_g2_i7.p1	Sprouty
TRINITY_DN283_c7_g3_i2.p1	Ank_2
TRINITY_DN283_c7_g3_i2.p1	Ank_5
TRINITY_DN3304_c2_g1_i2.p1	Ank
TRINITY_DN3304_c2_g1_i2.p1	Ank_2
TRINITY_DN3304_c2_g1_i2.p1	Ank_4
TRINITY_DN3304_c2_g1_i2.p1	Ank_5
TRINITY_DN2688_c0_g1_i49.p1	MA3
TRINITY_DN2688_c0_g1_i49.p1	MIF4G
TRINITY_DN1555_c0_g1_i2.p1	C8
TRINITY_DN1555_c0_g1_i2.p1	DUF1081
TRINITY_DN1555_c0_g1_i2.p1	DUF1943
TRINITY_DN1555_c0_g1_i2.p1	VWD
TRINITY_DN41702_c0_g1_i7.p1	I-set
TRINITY_DN53796_c0_g2_i1.p1	ADAM_spacer1
TRINITY_DN53796_c0_g2_i1.p1	Pep_M12B_propep
TRINITY_DN53796_c0_g2_i1.p1	Reprolysin
TRINITY_DN270_c0_g1_i6.p1	C8
TRINITY_DN270_c0_g1_i6.p1	F5_F8_type_C
TRINITY_DN270_c0_g1_i6.p1	Ldl_recept_a
TRINITY_DN270_c0_g1_i6.p1	Pacifastin_I
TRINITY_DN270_c0_g1_i6.p1	TIL
TRINITY_DN270_c0_g1_i6.p1	TSP_1
TRINITY_DN270_c0_g1_i6.p1	VWC
TRINITY_DN10213_c0_g1_i1.p1	7tm_3
TRINITY_DN5326_c0_g2_i2.p1	40S_SA_C
TRINITY_DN17089_c0_g1_i10.p1	Homeobox
TRINITY_DN13242_c0_g1_i85.p1	Med26
TRINITY_DN13242_c0_g1_i85.p1	TFIIS_C
TRINITY_DN15739_c0_g1_i3.p1	GAF
TRINITY_DN15739_c0_g1_i3.p1	GAF_2
TRINITY_DN5498_c0_g1_i16.p1	UDPG_MGDP_dh
TRINITY_DN5498_c0_g1_i16.p1	UDPG_MGDP_dh_C
TRINITY_DN5672_c0_g1_i27.p1	I-set
TRINITY_DN5672_c0_g1_i27.p1	Pkinase
TRINITY_DN1425_c0_g1_i21.p1	CH
TRINITY_DN208343_c0_g1_i1.p1	Filament
TRINITY_DN21443_c0_g1_i5.p1	LIM
TRINITY_DN27965_c2_g1_i1.p1	BIR
TRINITY_DN1632_c1_g1_i4.p1	EGF
TRINITY_DN1632_c1_g1_i4.p1	EGF_CA
TRINITY_DN1632_c1_g1_i4.p1	FXa_inhibition
TRINITY_DN1632_c1_g1_i4.p1	Ldl_recept_a
TRINITY_DN1632_c1_g1_i4.p1	Ldl_recept_b
TRINITY_DN1521_c0_g1_i2.p1	Inhibitor_I29
TRINITY_DN48568_c0_g3_i2.p1	AAA
TRINITY_DN48568_c0_g3_i2.p1	CDC48_2
TRINITY_DN48568_c0_g3_i2.p1	CDC48_N
TRINITY_DN3641_c6_g1_i1.p1	Ribosomal_S17
TRINITY_DN43_c0_g1_i15.p1	PABP
TRINITY_DN8308_c0_g1_i1.p1	S-AdoMet_synt_C
TRINITY_DN8308_c0_g1_i1.p1	S-AdoMet_synt_M
TRINITY_DN30369_c0_g1_i3.p1	VWA
TRINITY_DN25345_c0_g1_i2.p1	RRM_1
TRINITY_DN205363_c0_g1_i1.p1	CBM39
TRINITY_DN1378_c2_g1_i12.p1	Furin-like
TRINITY_DN1378_c2_g1_i12.p1	GF_recep_IV
TRINITY_DN1378_c2_g1_i12.p1	Pkinase_Tyr
TRINITY_DN30369_c0_g1_i5.p1	VWA
TRINITY_DN10842_c3_g1_i3.p1	RA
TRINITY_DN10842_c3_g1_i3.p1	SH2
TRINITY_DN9587_c0_g1_i1.p1	BTB_2
TRINITY_DN9587_c0_g1_i1.p1	DUSP
TRINITY_DN9587_c0_g1_i1.p1	Ribosomal_L18p
TRINITY_DN9587_c0_g1_i1.p1	UCH
TRINITY_DN9587_c0_g1_i1.p1	Ubiquitin_3
TRINITY_DN14166_c2_g2_i1.p1	An_peroxidase
TRINITY_DN14166_c2_g2_i1.p1	I-set
TRINITY_DN14166_c2_g2_i1.p1	LRRCT
TRINITY_DN14166_c2_g2_i1.p1	LRR_8
TRINITY_DN2855_c0_g1_i56.p1	DUF1899
TRINITY_DN2855_c0_g1_i56.p1	WD40
TRINITY_DN2780_c0_g1_i1.p1	EF-hand_5
TRINITY_DN2780_c0_g1_i1.p1	I-set
TRINITY_DN2780_c0_g1_i1.p1	Ig_3
TRINITY_DN316_c0_g1_i9.p1	PKK
TRINITY_DN14954_c0_g2_i3.p1	Arm
TRINITY_DN14954_c0_g2_i3.p1	Arm_3
TRINITY_DN13449_c0_g1_i8.p2	EF-hand_5
TRINITY_DN34017_c1_g1_i1.p1	EGF
TRINITY_DN34017_c1_g1_i1.p1	EGF_CA
TRINITY_DN34017_c1_g1_i1.p1	fn3
TRINITY_DN7458_c0_g1_i3.p1	DDE_3
TRINITY_DN7458_c0_g1_i3.p1	DUF4817
TRINITY_DN7458_c0_g1_i3.p1	HTH_Tnp_Tc3_2
TRINITY_DN2134_c1_g1_i7.p1	zf-C2H2
TRINITY_DN2134_c1_g1_i7.p1	zf-C2H2_4
TRINITY_DN2134_c1_g1_i7.p1	zf-C2H2_6
TRINITY_DN5498_c0_g1_i3.p1	UDPG_MGDP_dh
TRINITY_DN5498_c0_g1_i3.p1	UDPG_MGDP_dh_C
TRINITY_DN2415_c1_g1_i63.p1	KA1
TRINITY_DN2415_c1_g1_i63.p1	Pkinase
TRINITY_DN1219_c5_g1_i1.p1	CarboxypepD_reg
TRINITY_DN2613_c0_g1_i1.p1	Sortilin-Vps10
TRINITY_DN72_c1_g2_i5.p1	Thiolase_C
TRINITY_DN16704_c0_g1_i5.p1	CAP
TRINITY_DN181307_c0_g1_i1.p1	RRM_1
TRINITY_DN33_c0_g1_i2.p1	Collagen
TRINITY_DN33_c0_g1_i2.p1	Kunitz_BPTI
TRINITY_DN33_c0_g1_i2.p1	VWA
TRINITY_DN5809_c0_g1_i9.p1	PBD
TRINITY_DN8203_c0_g1_i19.p1	ADH_N
TRINITY_DN12011_c0_g2_i1.p1	Peptidase_C1
TRINITY_DN1425_c0_g1_i63.p1	CH
TRINITY_DN57373_c0_g1_i3.p1	F-box-like
TRINITY_DN57373_c0_g1_i3.p1	Transglut_core2
TRINITY_DN17588_c0_g1_i1.p1	DEAD
TRINITY_DN255_c0_g3_i1.p1	Homeobox
TRINITY_DN21332_c0_g1_i2.p1	Med12
TRINITY_DN12741_c0_g2_i8.p1	Med25
TRINITY_DN12741_c0_g2_i8.p1	Med25_NR-box
TRINITY_DN12741_c0_g2_i8.p1	Med25_SD1
TRINITY_DN7567_c0_g1_i16.p1	CH
TRINITY_DN16519_c1_g1_i1.p1	Ribosomal_L11
TRINITY_DN134579_c0_g1_i1.p1	Ribosomal_S13_N
TRINITY_DN15967_c0_g1_i24.p1	CTNNB1_binding
TRINITY_DN25348_c2_g3_i1.p1	FERM_M
TRINITY_DN25348_c2_g3_i1.p1	IQ
TRINITY_DN25348_c2_g3_i1.p1	MyTH4
TRINITY_DN12151_c0_g1_i11.p1	Death
TRINITY_DN12151_c0_g1_i11.p1	I-set
TRINITY_DN12151_c0_g1_i11.p1	Ig_3
TRINITY_DN12151_c0_g1_i11.p1	TSP_1
TRINITY_DN12151_c0_g1_i11.p1	UPA
TRINITY_DN11308_c0_g1_i1.p1	RRM_1
TRINITY_DN10305_c0_g1_i2.p1	Neur_chan_LBD
TRINITY_DN6564_c1_g1_i2.p1	GTP_EFTU
TRINITY_DN6564_c1_g1_i2.p1	GTP_EFTU_D2
TRINITY_DN6817_c0_g1_i4.p1	Laminin_EGF
TRINITY_DN6817_c0_g1_i4.p1	Laminin_N
TRINITY_DN13112_c0_g1_i3.p1	Collagen
TRINITY_DN13112_c0_g1_i3.p1	Kunitz_BPTI
TRINITY_DN561_c0_g1_i2.p1	PCI
TRINITY_DN1509_c0_g1_i2.p1	EGF_2
TRINITY_DN1509_c0_g1_i2.p1	Integrin_B_tail
TRINITY_DN1509_c0_g1_i2.p1	Integrin_b_cyt
TRINITY_DN1509_c0_g1_i2.p1	Integrin_beta
TRINITY_DN1057_c0_g1_i57.p1	FERM_M
TRINITY_DN1057_c0_g1_i57.p1	FERM_N
TRINITY_DN1057_c0_g1_i57.p1	FERM_f0
TRINITY_DN1057_c0_g1_i57.p1	IRS
TRINITY_DN1057_c0_g1_i57.p1	I_LWEQ
TRINITY_DN1057_c0_g1_i57.p1	Talin_middle
TRINITY_DN27659_c1_g1_i14.p1	EGF
TRINITY_DN27659_c1_g1_i14.p1	Sushi
TRINITY_DN7644_c7_g1_i1.p1	DUF4460
TRINITY_DN12355_c0_g1_i7.p1	CH
TRINITY_DN33_c0_g1_i5.p1	EGF
TRINITY_DN33_c0_g1_i5.p1	Sushi
TRINITY_DN3013_c1_g1_i1.p1	HEAT_2
TRINITY_DN4974_c0_g1_i16.p1	EGF
TRINITY_DN9597_c0_g1_i29.p1	Collagen
TRINITY_DN9597_c0_g1_i29.p1	Kunitz_BPTI
TRINITY_DN9597_c0_g1_i29.p1	VWA
TRINITY_DN7413_c0_g2_i8.p1	KA1
TRINITY_DN9279_c0_g1_i32.p1	EGF
TRINITY_DN9279_c0_g1_i32.p1	Sushi
TRINITY_DN10013_c0_g1_i16.p1	LRR_1
TRINITY_DN10013_c0_g1_i16.p1	LRR_5
TRINITY_DN10013_c0_g1_i16.p1	LRR_6
TRINITY_DN10013_c0_g1_i16.p1	LRR_8
TRINITY_DN38672_c0_g1_i1.p1	Tis11B_N
TRINITY_DN5498_c0_g2_i2.p1	UDPG_MGDP_dh
TRINITY_DN5498_c0_g2_i2.p1	UDPG_MGDP_dh_C
TRINITY_DN4615_c1_g4_i2.p1	C2
TRINITY_DN4615_c1_g4_i2.p1	HECT
TRINITY_DN16786_c0_g1_i27.p1	EST1_DNA_bind
TRINITY_DN48568_c0_g2_i2.p1	AAA
TRINITY_DN48568_c0_g2_i2.p1	CDC48_2
TRINITY_DN48568_c0_g2_i2.p1	CDC48_N
TRINITY_DN156775_c0_g1_i1.p1	Ribosomal_L2
TRINITY_DN7345_c2_g1_i1.p1	Ank_4
TRINITY_DN7345_c2_g1_i1.p1	RA
TRINITY_DN56569_c2_g1_i4.p1	Beta-lactamase
TRINITY_DN2018_c0_g1_i24.p1	Nup153
TRINITY_DN2018_c0_g1_i24.p1	Nup_retrotrp_bd
TRINITY_DN188_c0_g1_i4.p1	CH
TRINITY_DN29394_c0_g1_i2.p1	Anillin
TRINITY_DN132150_c0_g1_i1.p1	ERCC3_RAD25_C
TRINITY_DN132150_c0_g1_i1.p1	Helicase_C_3
TRINITY_DN7691_c0_g1_i129.p1	SH3_1
TRINITY_DN7691_c0_g1_i129.p1	SH3_9
TRINITY_DN15591_c0_g1_i3.p1	DSL
TRINITY_DN15591_c0_g1_i3.p1	EGF
TRINITY_DN15591_c0_g1_i3.p1	EGF_2
TRINITY_DN15591_c0_g1_i3.p1	EGF_CA
TRINITY_DN15591_c0_g1_i3.p1	MNNL
TRINITY_DN5536_c0_g6_i1.p1	Tubulin
TRINITY_DN132_c0_g1_i12.p1	DUF1731
TRINITY_DN2948_c0_g1_i11.p1	EF-hand_8
TRINITY_DN2948_c0_g1_i11.p1	Ins145_P3_rec
TRINITY_DN2948_c0_g1_i11.p1	Ion_trans
TRINITY_DN2948_c0_g1_i11.p1	MIR
TRINITY_DN2948_c0_g1_i11.p1	RIH_asoc
TRINITY_DN2948_c0_g1_i11.p1	RR_TM4-6
TRINITY_DN2948_c0_g1_i11.p1	RYDR_ITPR
TRINITY_DN2948_c0_g1_i11.p1	RyR
TRINITY_DN7840_c1_g2_i2.p1	Antistasin
TRINITY_DN7840_c1_g2_i2.p1	VWA
TRINITY_DN7840_c1_g2_i2.p1	VWC
TRINITY_DN10305_c0_g1_i3.p1	Neur_chan_LBD
TRINITY_DN36022_c0_g1_i13.p1	Band_7
TRINITY_DN7413_c0_g1_i16.p1	KA1
TRINITY_DN13121_c0_g1_i35.p1	UBA_4
TRINITY_DN11149_c0_g1_i19.p1	CH
TRINITY_DN11149_c0_g1_i19.p1	PH
TRINITY_DN11149_c0_g1_i19.p1	RhoGEF
TRINITY_DN11149_c0_g1_i19.p1	RhoGEF67_u1
TRINITY_DN11149_c0_g1_i19.p1	RhoGEF67_u2
TRINITY_DN11149_c0_g1_i19.p1	SH3_2
TRINITY_DN11149_c0_g1_i19.p1	SH3_9
TRINITY_DN7691_c0_g1_i85.p1	SH3_1
TRINITY_DN7691_c0_g1_i85.p1	SH3_9
TRINITY_DN24679_c2_g1_i1.p1	Hemopexin
TRINITY_DN24679_c2_g1_i1.p1	PG_binding_1
TRINITY_DN7497_c0_g2_i1.p1	Pr_beta_C
TRINITY_DN2982_c0_g1_i2.p1	EFG_C
TRINITY_DN2982_c0_g1_i2.p1	EFG_II
TRINITY_DN2982_c0_g1_i2.p1	EFG_IV
TRINITY_DN2982_c0_g1_i2.p1	GTP_EFTU
TRINITY_DN14721_c0_g1_i1.p1	BACK
TRINITY_DN14721_c0_g1_i1.p1	BTB
TRINITY_DN12908_c0_g2_i1.p1	Ank_2
TRINITY_DN12908_c0_g2_i1.p1	Ank_4
TRINITY_DN12908_c0_g2_i1.p1	Pre-SET
TRINITY_DN682_c2_g1_i1.p1	DUF3513
TRINITY_DN682_c2_g1_i1.p1	SH3_1
TRINITY_DN682_c2_g1_i1.p1	SH3_9
TRINITY_DN4229_c0_g1_i5.p1	MyTH4
TRINITY_DN48720_c7_g1_i1.p1	Ribosomal_60s
TRINITY_DN8255_c0_g1_i3.p1	LIM
TRINITY_DN21493_c0_g1_i2.p1	ADH_N
TRINITY_DN9596_c0_g1_i4.p1	ADAM17_MPD
TRINITY_DN9596_c0_g1_i4.p1	Disintegrin
TRINITY_DN9596_c0_g1_i4.p1	Pep_M12B_propep
TRINITY_DN9596_c0_g1_i4.p1	Reprolysin_2
TRINITY_DN11979_c1_g2_i1.p1	RIIa
TRINITY_DN14695_c0_g1_i43.p1	Glyco_transf_7C
TRINITY_DN30144_c0_g1_i12.p1	USP8_interact
TRINITY_DN27039_c0_g1_i13.p1	RUN
TRINITY_DN27039_c0_g1_i13.p1	RabGAP-TBC
TRINITY_DN10913_c0_g1_i80.p1	RasGEF
TRINITY_DN1499_c25_g1_i1.p1	Asp_protease
TRINITY_DN4437_c0_g1_i1.p1	Ribosomal_S30
TRINITY_DN22816_c0_g1_i2.p1	Disintegrin
TRINITY_DN22816_c0_g1_i2.p1	Pep_M12B_propep
TRINITY_DN22816_c0_g1_i2.p1	Reprolysin_2
TRINITY_DN223_c0_g1_i228.p1	EF-hand_1
TRINITY_DN223_c0_g1_i228.p1	EF-hand_5
TRINITY_DN223_c0_g1_i228.p1	EF-hand_7
TRINITY_DN22495_c0_g1_i26.p1	Band_3_cyto
TRINITY_DN10795_c1_g1_i3.p1	ABC_membrane
TRINITY_DN157202_c0_g1_i1.p1	N_BRCA1_IG
TRINITY_DN9547_c0_g1_i23.p2	CH
TRINITY_DN505_c0_g1_i14.p1	Cation_ATPase
TRINITY_DN505_c0_g1_i14.p1	Cation_ATPase_C
TRINITY_DN505_c0_g1_i14.p1	Cation_ATPase_N
TRINITY_DN505_c0_g1_i14.p1	E1-E2_ATPase
TRINITY_DN184784_c0_g1_i1.p1	Y_phosphatase
TRINITY_DN4905_c0_g1_i5.p1	EF-hand_8
TRINITY_DN4905_c0_g1_i5.p1	Ins145_P3_rec
TRINITY_DN4905_c0_g1_i5.p1	Ion_trans
TRINITY_DN4905_c0_g1_i5.p1	MIR
TRINITY_DN4905_c0_g1_i5.p1	RIH_asoc
TRINITY_DN4905_c0_g1_i5.p1	RR_TM4-6
TRINITY_DN4905_c0_g1_i5.p1	RYDR_ITPR
TRINITY_DN4905_c0_g1_i5.p1	RyR
TRINITY_DN3629_c0_g1_i51.p1	DUF1908
TRINITY_DN3629_c0_g1_i51.p1	PDZ
TRINITY_DN491_c0_g1_i19.p1	C8
TRINITY_DN491_c0_g1_i19.p1	TIL
TRINITY_DN491_c0_g1_i19.p1	VWC
TRINITY_DN2855_c0_g1_i38.p1	DUF1899
TRINITY_DN2855_c0_g1_i38.p1	WD40
TRINITY_DN7567_c0_g1_i4.p1	CH
TRINITY_DN2331_c0_g2_i1.p1	LIM
TRINITY_DN29394_c0_g1_i27.p1	Anillin
TRINITY_DN32460_c0_g1_i6.p1	Cu_amine_oxid
TRINITY_DN32460_c0_g1_i6.p1	Cu_amine_oxidN2
TRINITY_DN32460_c0_g1_i6.p1	Cu_amine_oxidN3
TRINITY_DN9493_c0_g1_i4.p1	E1_4HB
TRINITY_DN9493_c0_g1_i4.p1	E1_FCCH
TRINITY_DN9493_c0_g1_i4.p1	E1_UFD
TRINITY_DN9493_c0_g1_i4.p1	ThiF
TRINITY_DN10696_c0_g1_i81.p1	DSPc
TRINITY_DN5498_c0_g1_i10.p1	UDPG_MGDP_dh
TRINITY_DN5498_c0_g1_i10.p1	UDPG_MGDP_dh_C
TRINITY_DN4484_c0_g1_i2.p1	IQ
TRINITY_DN4484_c0_g1_i2.p1	Myosin_TH1
TRINITY_DN4807_c0_g1_i3.p1	LRRNT
TRINITY_DN16390_c0_g2_i1.p1	ABC_membrane
TRINITY_DN27320_c0_g1_i1.p1	I-set
TRINITY_DN27320_c0_g1_i1.p1	IGFBP
TRINITY_DN27320_c0_g1_i1.p1	Ig_3
TRINITY_DN27320_c0_g1_i1.p1	Kazal_1
TRINITY_DN7475_c0_g1_i33.p1	DHR-2
TRINITY_DN7475_c0_g1_i33.p1	DOCK-C2
TRINITY_DN7475_c0_g1_i33.p1	DOCK_N
TRINITY_DN22260_c0_g1_i1.p1	PP2C
TRINITY_DN10478_c0_g1_i5.p1	EF-hand_1
TRINITY_DN10478_c0_g1_i5.p1	EF-hand_6
TRINITY_DN10478_c0_g1_i5.p1	EF-hand_7
TRINITY_DN429_c1_g1_i6.p1	CSD
TRINITY_DN17152_c0_g1_i1.p1	C1_1
TRINITY_DN17152_c0_g1_i1.p1	CNH
TRINITY_DN17152_c0_g1_i1.p1	DMPK_coil
TRINITY_DN17152_c0_g1_i1.p1	KELK
TRINITY_DN17152_c0_g1_i1.p1	Pkinase
TRINITY_DN1685_c0_g1_i1.p1	Tropomyosin
TRINITY_DN4703_c0_g1_i10.p1	Exo_endo_phos_2
TRINITY_DN2430_c0_g4_i1.p1	ADAM_spacer1
TRINITY_DN2430_c0_g4_i1.p1	Pep_M12B_propep
TRINITY_DN2430_c0_g4_i1.p1	Reprolysin
TRINITY_DN47966_c0_g1_i1.p1	Exo_endo_phos
TRINITY_DN17_c0_g1_i1.p1	EGF
TRINITY_DN17_c0_g1_i1.p1	I-set
TRINITY_DN17_c0_g1_i1.p1	Ig_2
TRINITY_DN17_c0_g1_i1.p1	Ig_3
TRINITY_DN17_c0_g1_i1.p1	Laminin_B
TRINITY_DN17_c0_g1_i1.p1	Laminin_EGF
TRINITY_DN17_c0_g1_i1.p1	Laminin_G_1
TRINITY_DN17_c0_g1_i1.p1	Laminin_G_2
TRINITY_DN24745_c0_g1_i1.p1	RasGEF
TRINITY_DN24745_c0_g1_i1.p1	SAM_1
TRINITY_DN7567_c0_g1_i13.p1	CH
TRINITY_DN7691_c0_g1_i75.p1	SH3_1
TRINITY_DN7691_c0_g1_i75.p1	SH3_9
TRINITY_DN1686_c0_g2_i6.p1	Ank_2
TRINITY_DN1686_c0_g2_i6.p1	Ank_4
TRINITY_DN16852_c0_g1_i5.p1	I-set
TRINITY_DN21443_c0_g1_i17.p1	LIM
TRINITY_DN34992_c0_g1_i1.p1	DEAD
TRINITY_DN1990_c4_g2_i1.p1	Bromodomain
TRINITY_DN930_c14_g1_i1.p1	EFG_C
TRINITY_DN930_c14_g1_i1.p1	EFG_II
TRINITY_DN930_c14_g1_i1.p1	EFG_IV
TRINITY_DN930_c14_g1_i1.p1	GTP_EFTU
TRINITY_DN38412_c0_g1_i1.p1	CUB
TRINITY_DN38412_c0_g1_i1.p1	EGF
TRINITY_DN38412_c0_g1_i1.p1	Fz
TRINITY_DN38412_c0_g1_i1.p1	Ldl_recept_a
TRINITY_DN38412_c0_g1_i1.p1	Lectin_C
TRINITY_DN1038_c0_g1_i2.p1	Glycos_transf_2
TRINITY_DN1360_c0_g2_i6.p1	STAS
TRINITY_DN2724_c0_g1_i6.p1	Ank_2
TRINITY_DN756_c0_g1_i15.p1	Drf_FH3
TRINITY_DN756_c0_g1_i15.p1	Drf_GBD
TRINITY_DN756_c0_g1_i15.p1	FH2
TRINITY_DN2296_c18_g1_i1.p1	ADK
TRINITY_DN27215_c0_g1_i17.p1	EGF
TRINITY_DN4689_c0_g1_i32.p1	LLGL
TRINITY_DN4689_c0_g1_i32.p1	Lgl_C
TRINITY_DN2751_c1_g1_i1.p1	Tubulin
TRINITY_DN27728_c0_g1_i1.p1	DSPc
TRINITY_DN4541_c0_g1_i2.p1	CH
TRINITY_DN28111_c0_g1_i1.p1	Inhibitor_I29
TRINITY_DN5252_c0_g1_i30.p1	DUF3694
TRINITY_DN5252_c0_g1_i30.p1	FHA
TRINITY_DN5252_c0_g1_i30.p1	KIF1B
TRINITY_DN5252_c0_g1_i30.p1	Kinesin
TRINITY_DN5252_c0_g1_i30.p1	Kinesin_asoc
TRINITY_DN4351_c0_g1_i7.p1	23ISL
TRINITY_DN4351_c0_g1_i7.p1	I-set
TRINITY_DN4351_c0_g1_i7.p1	Pkinase
TRINITY_DN49077_c0_g1_i3.p1	DEAD
TRINITY_DN28730_c0_g2_i1.p1	Ribos_L4_aso_C
TRINITY_DN2890_c0_g1_i6.p1	PBD
TRINITY_DN2890_c0_g1_i6.p1	Pkinase_Tyr
TRINITY_DN1145_c4_g1_i5.p1	DUF3377
TRINITY_DN1145_c4_g1_i5.p1	Hemopexin
TRINITY_DN1145_c4_g1_i5.p1	PG_binding_1
TRINITY_DN29361_c0_g1_i11.p1	Hormone_recep
TRINITY_DN29361_c0_g1_i11.p1	Nuc_recep-AF1
TRINITY_DN33978_c0_g1_i7.p1	AA_kinase
TRINITY_DN6103_c1_g1_i2.p1	Ribosomal_S4
TRINITY_DN29487_c0_g1_i34.p1	MA3
TRINITY_DN29487_c0_g1_i34.p1	MIF4G
TRINITY_DN16704_c0_g1_i14.p1	2OG-FeII_Oxy_3
TRINITY_DN3252_c0_g1_i5.p1	Bravo_FIGEY
TRINITY_DN3252_c0_g1_i5.p1	I-set
TRINITY_DN3252_c0_g1_i5.p1	Ig_3
TRINITY_DN3252_c0_g1_i5.p1	fn3
TRINITY_DN17588_c0_g2_i1.p1	DEAD
TRINITY_DN2306_c0_g1_i6.p1	Thioredoxin
TRINITY_DN30684_c0_g2_i1.p1	DUF3548
TRINITY_DN55497_c0_g2_i11.p1	Ank_2
TRINITY_DN55497_c0_g2_i11.p1	Ank_4
TRINITY_DN55497_c0_g2_i11.p1	C1_1
TRINITY_DN55497_c0_g2_i11.p1	DAGK_ac
TRINITY_DN3292_c0_g1_i6.p1	I-set
TRINITY_DN3292_c0_g1_i6.p1	Ig_3
TRINITY_DN5536_c0_g3_i1.p1	Tubulin
TRINITY_DN39106_c0_g1_i1.p1	Tropomyosin
TRINITY_DN11260_c0_g1_i3.p1	ATP_bind_3
TRINITY_DN32469_c1_g1_i2.p1	ADAM_spacer1
TRINITY_DN32469_c1_g1_i2.p1	I-set
TRINITY_DN32469_c1_g1_i2.p1	Ig_3
TRINITY_DN32469_c1_g1_i2.p1	Kunitz_BPTI
TRINITY_DN32469_c1_g1_i2.p1	PLAC
TRINITY_DN32469_c1_g1_i2.p1	Papilin_u7
TRINITY_DN32469_c1_g1_i2.p1	TSP_1
TRINITY_DN45071_c0_g1_i3.p1	40S_S4_C
TRINITY_DN45071_c0_g1_i3.p1	KOW
TRINITY_DN45071_c0_g1_i3.p1	RS4NT
TRINITY_DN45071_c0_g1_i3.p1	Ribosomal_S4e
TRINITY_DN7691_c0_g1_i53.p1	SH3_1
TRINITY_DN7691_c0_g1_i53.p1	SH3_9
TRINITY_DN33036_c0_g2_i2.p1	GST_C_3
TRINITY_DN4346_c0_g1_i4.p1	Guanylate_kin
TRINITY_DN7395_c0_g1_i7.p1	EF-hand_1
TRINITY_DN7395_c0_g1_i7.p1	EF-hand_5
TRINITY_DN7395_c0_g1_i7.p1	EF-hand_6
TRINITY_DN482_c0_g1_i7.p1	HLH
TRINITY_DN3348_c0_g1_i9.p1	BACK
TRINITY_DN3348_c0_g1_i9.p1	BTB
TRINITY_DN33_c0_g1_i9.p1	EGF
TRINITY_DN33_c0_g1_i9.p1	Sushi
TRINITY_DN34017_c1_g1_i3.p1	EGF
TRINITY_DN34017_c1_g1_i3.p1	EGF_CA
TRINITY_DN34017_c1_g1_i3.p1	fn3
TRINITY_DN1243_c0_g1_i3.p1	C8
TRINITY_DN1243_c0_g1_i3.p1	DUF3011
TRINITY_DN1243_c0_g1_i3.p1	EGF
TRINITY_DN1243_c0_g1_i3.p1	EGF_CA
TRINITY_DN1243_c0_g1_i3.p1	FXa_inhibition
TRINITY_DN1243_c0_g1_i3.p1	Fibrinogen_C
TRINITY_DN1243_c0_g1_i3.p1	IgGFc_binding
TRINITY_DN1243_c0_g1_i3.p1	Mucin2_WxxW
TRINITY_DN1243_c0_g1_i3.p1	TIL
TRINITY_DN1243_c0_g1_i3.p1	TILa
TRINITY_DN1243_c0_g1_i3.p1	VWD
TRINITY_DN3669_c0_g1_i2.p1	TGF_beta
TRINITY_DN7256_c5_g1_i1.p1	Ank_2
TRINITY_DN7256_c5_g1_i1.p1	Ank_4
TRINITY_DN10305_c0_g1_i1.p1	Neur_chan_LBD
TRINITY_DN3584_c0_g1_i1.p1	I-set
TRINITY_DN3937_c0_g1_i10.p1	zf-A20
TRINITY_DN3508_c1_g1_i4.p1	Astacin
TRINITY_DN3508_c1_g1_i4.p1	CUB
TRINITY_DN3693_c1_g2_i12.p1	SOCS_box
TRINITY_DN47846_c0_g2_i7.p1	Alpha-mann_mid
TRINITY_DN47846_c0_g2_i7.p1	Glyco_hydro_38
TRINITY_DN8867_c0_g1_i1.p1	Ank
TRINITY_DN8867_c0_g1_i1.p1	Ank_2
TRINITY_DN1683_c0_g1_i3.p1	Exo_endo_phos
TRINITY_DN1683_c0_g1_i3.p1	Exo_endo_phos_2
TRINITY_DN384_c2_g1_i3.p1	MH1
TRINITY_DN7133_c0_g3_i1.p1	MyTH4
